2025-04-23 16:39:43 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:44 | CPU: 100% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:45 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:47 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:48 | CPU: 100% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:49 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:50 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:51 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:52 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:54 | CPU: 1.6% | MEM: 19.44% | DISK: 12%
2025-04-23 16:39:55 | CPU: 100% | MEM: 19.43% | DISK: 12%
2025-04-23 16:39:56 | CPU: 100% | MEM: 19.43% | DISK: 12%
2025-04-23 16:39:57 | CPU: 1.6% | MEM: 19.43% | DISK: 12%
2025-04-23 16:39:58 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:39:59 | CPU: 3.2% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:01 | CPU: 1.6% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:02 | CPU: 1.6% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:03 | CPU: 1.6% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:04 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:05 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:06 | CPU: 100% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:08 | CPU: 1.6% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:09 | CPU: 3.2% | MEM: 19.42% | DISK: 12%
2025-04-23 16:40:10 | CPU: 100% | MEM: 19.84% | DISK: 12%
2025-04-23 16:40:11 | CPU: 1.6% | MEM: 19.84% | DISK: 12%
2025-04-23 16:40:12 | CPU: 100% | MEM: 19.84% | DISK: 12%
2025-04-23 16:40:13 | CPU: 100% | MEM: 19.83% | DISK: 12%
2025-04-23 16:40:15 | CPU: 1.6% | MEM: 19.83% | DISK: 12%
2025-04-23 16:40:16 | CPU: 3.2% | MEM: 19.84% | DISK: 12%
2025-04-23 16:40:17 | CPU: 100% | MEM: 19.84% | DISK: 12%
2025-04-23 16:40:18 | CPU: 1.6% | MEM: 19.84% | DISK: 12%
2025-04-23 16:40:19 | CPU: 1.6% | MEM: 20.31% | DISK: 12%
2025-04-23 16:40:20 | CPU: 1.6% | MEM: 19.89% | DISK: 12%
2025-04-23 16:40:22 | CPU: 1.6% | MEM: 19.89% | DISK: 12%
2025-04-23 16:40:23 | CPU: 3.1% | MEM: 19.89% | DISK: 12%
2025-04-23 16:40:24 | CPU: 100% | MEM: 19.87% | DISK: 12%
2025-04-23 16:40:25 | CPU: 1.6% | MEM: 19.86% | DISK: 12%
2025-04-23 16:40:26 | CPU: 100% | MEM: 19.43% | DISK: 12%
2025-04-23 16:40:27 | CPU: 100% | MEM: 19.43% | DISK: 12%
2025-04-23 16:40:29 | CPU: 100% | MEM: 19.43% | DISK: 12%
